IDNO,State,Class,Name,Population,Lat,Long
1,Huntington,town,Marysville,,,
2,Huntington,town,Mintington,,,
3,Huntington,town,Old Huntington,,,
4,Huntington,city,Huntington,,,
5,Huntington,village,Higginsbourne,,,
6,Huntington,village,Acorncamp,,,
7,Huntington,village,Dunwoodie Corners,,,
8,Huntington,village,Congress Heights,,,
9,Huntington,village,Mintington Common,,,
10,Huntington,village,North Glen Holden,,,
11,Huntington,village,Midsummernight Hill,,,
12,Huntington,village,Greythrope Hill,,,
13,Huntington,village,Lopeewatop Hill,,,
14,Huntington,village,East Dunwoodie,,,
15,Huntington,village,Emerson Point,,,
16,Huntington,village,Juliansson Hills,,,
17,Huntington,village,Clayton,,,
18,Huntington,village,Foxbush,,,
19,Huntington,village,Canthby,,,
20,Huntington,village,Raskabent Village,,,
21,Huntington,village,South Marysville,,,
22,Huntington,village,Randalltown,,,
23,Huntington,village,Montrose,,,
24,Huntington,village,Evergreen Hills,,,
25,Huntington,village,West Emerson,,,
26,Huntington,village,Ellington,,,
27,Huntington,village,Bellesville,,,
28,Huntington,village,North Marysville,,,
29,Huntington,village,Orlynton,,,
30,Huntington,village,Sparrows Hill,,,
31,Huntington,village,Kellingham,,,
32,Huntington,village,Eastlynn,,,
33,Huntington,village,Speedway Village,,,
34,Huntington,village,Hawthorne,,,
35,Huntington,village,Newydd Station,,,
36,Huntington,village,Royal Gardens,,,
37,Huntington,village,Old Debling,,,
38,Huntington,village,New Debling,,,
39,Huntington,village,Anderson Reach,,,
40,Huntington,village,Glen Holden,,,
41,Huntington,town,Marysville,,,
42,Huntington,village,Mintington,,,
43,Huntington,village,Newydd,,,
44,Huntington,village,Ascounia,,,
45,Huntington,village,Ashburnham,,,
46,Huntington,village,Midsummernight Hill,,,
47,Huntington,village,Acorncamp,,,
48,Huntington,city,Huntington City,,,
49,Huntington,village,Greythrop Hill,,,
50,Huntington,town,Old Huntington,,,
51,Huntington,village,Higginsbourne,,,
52,Huntington,village,Lopeewatop Hill,,,
53,Huntington,village,Juliansson Hills,,,
54,Huntington,village,Foxbush,,,
55,Huntington,village,Clayton,,,
56,Huntington,village,Canthby,,,
57,AR120-04,town,Port Robert,,,
58,AR120-04,village,Loseyershoe,,,
59,AR120-04,village,Riggs Corner,,,
60,AR120-04,village,Lynn Crossing,,,
61,AR120-04,town,King's Bay,,,
62,AR120-04,town,Fort Gumryn,,,
63,AR120-04,village,Cape Magnolia,,,
64,AR120-04,village,Port Jeremy,,,
65,AR120-04,village,Dempsterville,,,
66,AR120-04,village,Green Valley,,,
67,AR120-04,village,Bletchley,,,
68,AR120-04,village,Belleville,,,
69,AR120-04,village,South Decker,,,
70,AR120-04,hamlet,Decker's Ferry,,,
71,AR120-04,village,Tapplingtons Rock,,,
72,AR120-04,town,Gilbertville,,,
73,AR120-04,village,Kings Bay Ferry,,,
74,AR120-04,village,Dexters Landing,,,
75,AR120-04,village,Salmon,,,
76,AR120-04,village,Vessington Bridge,,,
77,AR120-04,village,White Horse,,,
78,AR120-04,village,Taille,,,
79,AR120-04,village,Bridgetown,,,
80,AR120-04,town,Oakhill Junction,,,
81,AR120-04,village,Wells,,,
82,AR120-04,village,Magnolia Bluff,,,
83,AR120-04,village,South Dexter,,,
84,AR120-04,village,Richmond Garden,,,
85,AR120-04,village,Surtess,,,
86,AR120-04,village,Fork,,,
87,AR120-04,village,Knee,,,
88,AR120-04,town,Orlando,,,
89,AR120-04,village,Oakhill Ocean Park,,,
90,AR120-04,village,Ardentic Park,,,
91,AR120-04,village,Horthing,,,
92,AR120-04,town,Oxlake,,,
93,AR120-04,village,Hornets Nest,,,
94,AR120-04,village,Baum Hill,,,
95,AR120-04,village,Holton,,,
96,AR120-04,village,Bay Side,,,
97,AR120-04,town,Mary's Crossroads,,,
98,AR120-04,town,Brownville,,,
99,AR120-04,village,Green Grove,,,
100,AR120-04,town,Kenton,,,
101,AR120-04,village,Prairie,,,
102,AR120-04,village,Near Union,,,
103,AR120-04,village,Grover Hill,,,
104,AR120-04,village,Round Lake,,,
105,AR120-04,village,North Brownville,,,
106,AR120-04,village,Emblotts Cross,,,
107,AR120-04,village,Tackleton,,,
108,AR120-04,village,Andrews Chapel,,,
109,AR120-04,village,Dennis Lawn,,,
110,AR120-04,village,Misery,,,
111,AR120-04,village,Annandale,,,
112,AR120-04,village,Baitntackle,,,
113,AR120-04,village,Truesdale,,,
114,AR120-04,village,County Line,,,
115,AR120-04,village,Margereths Cross,,,
116,AR120-04,village,Scalsocor,,,
117,AR120-04,village,Duke's Bog,,,
118,AR120-04,village,Red Wolfe,,,
119,AR120-04,village,Rye,,,
120,AR120-04,village,Grilsehaugh,,,
121,AR120-04,village,Rosewood Station,,,
122,AR120-04,village,Creekside,,,
123,AR120-04,village,Rosewood,,,
124,AR120-04,village,Bracy,,,
125,AR120-04,village,Sireen Lake,,,
126,AR120-04,village,Curtius,,,
127,AR120-04,village,Bartley Cross,,,
128,AR120-04,village,Balderson,,,
129,AR120-04,village,Greysons Mill,,,
130,AR120-04,village,Rowardenan,,,
131,AR120-04,village,Castor Village,,,
132,AR120-04,village,Ruben,,,
133,AR120-04,village,Wicotapa,,,
134,AR120-04,village,Clementia,,,
135,AR120-04,village,Jinter,,,
136,AR120-04,village,Parlynn,,,
137,AR120-04,hamlet,Blue Throuth,,,
138,AR120-04,village,Henderston Bridge,,,
139,AR120-04,village,Dalmeny,,,
140,AR120-04,village,Cape Morrisson,,,
141,AR120-04,village,Hammermill,,,
142,AR120-04,village,De Winter,,,
143,AR120-04,village,Buck,,,
144,AR120-04,village,Elford,,,
145,AR120-04,village,North Grover,,,
146,AR120-04,village,Springs Chapel,,,
147,AR120-04,hamlet,Arnell,,,
148,AR120-04,hamlet,Vanderbrook,,,
149,AR120-04,hamlet,Rebeccaville,,,
150,AR120-04,town,Swordfish Bay,,,
151,AR120-04,city,Aerwinya,,,
152,AR120-04,town,Loine,,,
153,AR120-04,village,Leary Junction,,,
154,AR120-04,village,Savoy Beach,,,
155,AR120-04,village,Guisery Bay,,,
156,AR120-04,village,Palm Beach Bay,,,
157,AR120-04,village,Tadorna,,,
158,AR120-04,hamlet,Bongards Forge,,,
159,AR120-04,village,Praddly,,,
160,AR120-04,village,Sparrowsfield,,,
161,AR120-04,village,Peppermint Cross,,,
162,AR120-04,village,Earlsbridge,,,
163,AR120-04,village,Raven,,,
164,AR120-04,town,Ardentic Garden,,,
165,AR120-04,village,Great Vlayby,,,
166,AR120-04,village,Handson Marshland,,,
167,AR120-04,village,Little Vlayby,,,
168,AR120-04,village,Tournay Cross,,,
169,AR120-04,village,Savoy,,,
170,AR120-04,village,Sireen Beach,,,
171,AR120-04,village,Lower Red Fox Village,,,
172,AR120-04,village,Jondarry,,,
173,AR120-04,village,Rye Valley,,,
174,AR120-04,village,Linley Beach,,,
175,AR120-04,village,Noblehaym,,,
176,AR120-04,village,Shoreham,,,
177,AR120-04,village,Naquamooqua,,,
178,AR120-04,village,Riverbow,,,
179,AR120-04,village,Stowfield,,,
180,AR120-04,village,Willingham,,,
181,AR120-04,village,Hawkins,,,
182,AR120-04,village,Ilgyn Lake,,,
183,AR120-04,village,Travers,,,
184,AR120-04,village,Swan Island,,,
185,AR120-04,hamlet,Sparrow Beach,,,
186,AR120-04,village,Outer Vlayby,,,
187,AR120-04,village,Sparrow Bridge,,,
188,AR120-04,village,Findald,,,
189,AR120-04,village,DelaHaye,,,
190,AR120-04,village,Upper Red Fox Village,,,
191,AR120-04,hamlet,Panther Cross,,,
192,AR120-04,village,Collins,,,
193,AR120-04,village,Bel Air Hill,,,
194,AR120-04,hamlet,Oregano Point,,,
195,AR120-04,village,Port Helen,,,
196,AR120-04,hamlet,Silverlake,,,
197,AR120-04,village,Dolphin Beach,,,
198,AR120-04,village,North Grepply,,,
199,AR120-04,village,South Grepply,,,
200,AR120-04,village,Silent Beach,,,
201,AR120-04,village,Angel Bay,,,
202,AR120-04,village,S. Theodore,,,
203,AR120-04,village,Rabbit Beach,,,
204,AR120-04,village,Tamarisco,,,
205,AR120-04,village,Albatros Island,,,
206,AR120-04,village,Loine Beach,,,
207,AR120-04,village,Green,,,
208,AR120-04,village,Southby,,,
209,AR120-04,village,Hyyl,,,
210,AR120-04,village,Santers,,,
211,AR120-04,village,Leary Beach,,,
212,AR120-04,village,Long Island Village,,,
213,AR120-04,village,Svatakooma,,,
214,AR120-04,village,Naquootemena,,,
215,AR120-04,village,Dune Church,,,
216,AR120-04,village,Awaunagesook,,,
217,AR120-04,village,Linley Mill,,,
218,AR120-04,village,Crofton,,,
219,AR120-04,village,Unclay,,,
220,AR120-04,village,Reeds,,,
221,AR120-04,hamlet,Doma,,,
222,AR120-04,village,Reeds,,,
223,AR120-04,hamlet,Doma,,,
224,AR120-04,hamlet,Westcott,,,
225,AR120-04,town,Archibald,,,
226,AR120-04,hamlet,Colburn,,,
227,AR120-04,village,Emblotts Cross,,,
228,AR120-04,village,Tackleton,,,
229,AR120-04,town,Orlando Town,,,
230,AR120-04,village,Sparrowsfield,,,
231,AR120-04,village,Cape Magnolia,,,
232,AR120-04,village,Richmond,,,
233,AR120-04,village,Port Jeremy,,,
234,AR120-04,village,Fork,,,
235,AR120-04,town,Fort Gumryn,,,
236,AR120-04,village,Bartley Cross,,,
237,AR120-04,village,Salmon,,,
238,AR120-04,village,Castor Village,,,
239,AR120-04,village,Bletchley,,,
240,AR120-04,village,Grilsehaugh,,,
241,AR120-04,town,Gilbertville Town,,,
242,AR120-04,village,White Horse,,,
243,AR120-04,village,Hornets Nest,,,
244,AR120-04,village,Oxlake,,,
245,AR120-04,village,Lyddley,,,
246,AR120-04,village,Horthing,,,
247,AR120-04,village,Hammermill,,,
248,AR120-04,village,Raven,,,
249,AR120-04,village,Sawmills,,,
250,AR120-04,village,Hanson Marshland,,,
251,AR120-04,village,Vlayby,,,
252,AR120-04,city,Aerwinya City,,,
253,AR120-04,village,Savoy,,,
254,AR120-04,village,Palm Beach Bay,,,
255,AR120-04,village,Praddly,,,
256,AR120-04,village,Sireen Beach,,,
257,AR120-04,town,Loine,,,
258,AR120-04,village,Red Fox Village,,,
259,AR120-04,village,Jondarry,,,
260,AR120-04,village,Earlsbridge,,,
261,AR120-04,town,Swordfish Bay,,,
262,AR120-04,village,Peppermint Cross,,,
263,AR120-04,village,Rye Valley,,,
264,AR120-04,village,Tadorna,,,
265,AR120-04,village,Noblehaym,,,
266,AR120-04,village,Linley,,,
267,AR120-04,village,Shoreham,,,
268,AR120-04,village,Stowfield,,,
269,AR120-04,village,Naquamooqua,,,
270,AR120-04,village,Riverbow,,,
271,AR120-04,village,Tournay Cross,,,
272,AR120-04,village,Willingham,,,
273,AR120-04,village,Ardentic Garden,,,
274,AR120-04,village,Hawkins,,,
275,AR120-04,village,Ilgyn Lake,,,
276,AR120-04,village,Travers,,,
277,AR120-04,village,Swan Island,,,
278,AR120-04,village,Leary,,,
279,AR120-04,village,Angel Bay,,,
280,AR120-04,village,Silent Beach,,,
281,AR120-04,village,Guisery Bay,,,
282,AR120-04,village,Collins,,,
283,AR120-04,city,City of Montegoss,,,
284,AR120-05,city,Anne Abbey,461283,,
285,AR120-05,town,Hoyt,,,
286,AR120-05,city,Rivertown,261422,,
287,AR120-05,town,Marsh Bank,,,
288,AR120-05,village,Oyster Field,,,
289,AR120-05,hamlet,Sloan Junction,,,
290,AR120-05,village,Sumner,,,
291,AR120-05,village,Blanche's Ferry,,,
292,AR120-05,hamlet,Sumner Crossing,,,
293,AR120-05,town,Cat Creek,,,
294,AR120-05,village,Frankmont,,,
295,AR120-05,village,Pine Manor,,,
296,AR120-05,village,Terry Crossroads,,,
297,AR120-05,village,Lenox,,,
298,AR120-05,village,Farrington,,,
299,AR120-05,town,Johnsontown,,,
300,AR120-05,village,Victoria,,,
301,AR120-05,town,Lake Hewitt,,,
302,AR120-05,village,Heline,,,
303,AR120-05,town,Huger,,,
304,AR120-05,hamlet,Walter Swamp,,,
305,AR120-05,town,Arnoldville,,,
306,AR120-05,village,Wayne,,,
307,AR120-05,village,Pennington Oaks,,,
308,AR120-05,village,Dennis Hill,,,
309,AR120-05,village,Highland,,,
310,AR120-05,village,Hollis Bend,,,
311,AR120-05,village,Lee,,,
312,AR120-05,town,Wesley,,,
313,AR120-05,hamlet,South Lake,,,
314,AR120-05,town,Shackelford,,,
315,AR120-05,village,Stanton,,,
316,AR120-05,town,Hobb's Corner,,,
317,AR120-05,village,New Bridge,,,
318,AR120-05,village,Grodski,,,
319,AR120-05,village,Woodrow,,,
320,AR120-05,village,Davidson Chapel,,,
321,AR120-05,village,Henderson,,,
322,AR120-05,hamlet,Cabin,,,
323,AR120-05,village,Lewis,,,
324,AR120-05,village,Five Points,,,
325,AR120-05,hamlet,Anthony,,,
326,AR120-05,village,New Dexter,,,
327,AR120-05,village,Bethune Station,,,
328,AR120-05,hamlet,Nills,,,
329,AR120-05,hamlet,Hassell,,,
330,AR120-05,village,Dogwood Garden,,,
331,AR120-05,village,Rylance,,,
332,AR120-05,village,Ryder Creek,,,
333,AR120-05,village,Todd's Market,,,
334,AR120-05,village,Wilke,,,
335,AR120-05,village,Butler,,,
336,AR120-05,town,Beverly Shores,,,
337,AR120-05,village,Freebury,,,
338,AR120-05,village,Morgan Creek,,,
339,AR120-05,town,Hillsboro,,,
340,AR120-05,village,Hillsboro Station,,,
341,AR120-05,village,Chadwell,,,
342,AR120-05,village,Capitol Heights,,,
343,AR120-05,village,Adlington,,,
344,AR120-05,village,Rabon,,,
345,AR120-05,village,Freebury Landing,,,
346,AR120-05,village,Fairfield,,,
347,AR120-05,village,Pine,,,
348,AR120-05,hamlet,Oswaltson,,,
349,AR120-05,hamlet,Paddock,,,
350,AR120-05,hamlet,Castle's Dairy,,,
351,AR120-05,hamlet,South Bethune,,,
352,AR120-05,hamlet,Hoyle,,,
353,AR120-05,hamlet,Maxton,,,
354,AR120-05,hamlet,Lancrombe,,,
355,AR120-05,hamlet,Bluegill Mound,,,
356,AR120-05,hamlet,Fox,,,
357,AR120-05,hamlet,Bakersfield,,,
358,AR120-05,hamlet,Woodley Chapel,,,
359,AR120-05,hamlet,Moose Lake,,,
360,AR120-05,hamlet,Gordons Corner,,,
361,AR120-05,village,West Arnoldville,,,
362,AR120-05,hamlet,Lee's Chapel,,,
363,AR120-05,city,Cape Stockton,,,
364,AR120-05,city,Oleana,218457,,
365,AR120-05,city,Gibson,,,
366,AR120-05,village,Avery's Corner,,,
367,AR120-05,village,Wolcott,,,
368,AR120-05,town,Clifton,41622,,
369,AR120-05,village,Oyster Bay,2381,,
370,AR120-05,town,Mansfield,,,
371,AR120-05,town,Shermansville,,,
372,AR120-05,town,Edithsburg,,,
373,AR120-05,town,Bellington,,,
374,AR120-05,town,Whitestone Falls,,,
375,AR120-05,town,North Stony Fork,,,
377,AR120-05,city,Calsum,,,
378,AR120-05,village,Saydom Village,1217,,
379,AR120-05,village,North Bellington,,,
380,AR120-05,village,Merriweather Point,,,
381,AR120-05,village,Okwahnea,,,
382,AR120-05,village,Langley,,,
383,AR120-05,town,Segar,,,
384,AR120-05,village,Southside Beach,,,
385,AR120-05,town,Chapel Beach,,,
386,AR120-05,town,Landen,,,
387,AR120-05,town,Stanton,,,
388,AR120-05,town,Brunswick,,,
389,AR120-05,town,Southwick,,,
390,AR120-05,town,Wearhead,,,
391,AR120-05,town,Blaney,,,
392,AR120-05,town,Adlerhearth,,,
393,AR120-05,town,Newman,11426,,
394,AR120-05,town,West Dellings,,,
395,AR120-05,town,Wallace,,,
396,AR120-05,town,Ardentic Beach,,,
397,AR120-05,town,Newlynn,,,
398,AR120-05,town,Brookfield,,,
399,AR120-05,town,Dellings,,,
400,AR120-05,town,Sampson Beach,,,
401,AR120-05,hamlet,Chapel Point,,,
402,AR120-05,village,Westover,726,,
403,AR120-05,village,Horsehead Point,,,
404,AR120-05,town,Steigundorf,,,
405,AR120-05,village,Danielson Point,,,
406,AR120-05,town,Sandbourne,,,
407,AR120-05,city,Brimsborough,34000,,
408,AR120-05,town,Douganstown,,,
409,Whitestone,town,Elkhart,,,
410,Whitestone,town,Sanagget,"5,363",,
411,Whitestone,town,Stonewood,"7,204",,
412,Whitestone,town,Carmel,"11,542",,
413,Whitestone,town,Annaberg,"8,624",,
414,Whitestone,town,New Winburgh,21571,,
415,Whitestone,city,Eveleigh,314381,,
416,Whitestone,village,Sea Pines,"3,812",,
417,Whitestone,village,Mountainside,732,,
418,Whitestone,city,Simmons,,,
419,Whitestone,town,Dreydentown,,,
420,Whitestone,village,West Valley,,,
421,Whitestone,hamlet,Arion,,,
422,Whitestone,village,North Stonewood,,,
423,Whitestone,village,College Hill,,,
424,Whitestone,hamlet,Powerville,,,
425,Whitestone,hamlet,State Line,,,
426,Whitestone,town,Melbury,,,
427,Whitestone,hamlet,Sillionville,,,
428,Whitestone,hamlet,Mount Pyre,,,
429,Whitestone,town,Rockwood,,,
430,Whitestone,village,Hypatia,,,
431,Whitestone,village,Wilstone,,,
432,Whitestone,village,Seal Cove,,,
433,Whitestone,town,Preston,,,
434,Whitestone,hamlet,Wallaceville,,,
435,Whitestone,town,Carolsville,,,
436,Whitestone,village,Upper Hypatia,,,
437,Whitestone,town,Lionsfield,,,
438,Whitestone,village,LeMoyne,,,
439,Whitestone,village,Murray Lake Village,,,
440,Whitestone,town,Stony Fork,"11,000",,
441,Whitestone,hamlet,Jenkins Corner,,,
442,Whitestone,hamlet,Jurgensenville,,,
443,Whitestone,village,East Townsend,,,
444,Whitestone,hamlet,Kingwood,,,
445,Whitestone,village,Townsend,,,
446,Whitestone,hamlet,Snake Hill,,,
447,Whitestone,town,Brine,"5,363",,
448,Whitestone,town,Ardentis,,,
449,Whitestone,village,Winburgh Shores,,,
450,Whitestone,village,Tannequat Cedars,,,
451,Whitestone,village,Tannequat Crest,,,
452,Whitestone,town,Tannequat,"5,363",,
453,Whitestone,village,Camelback Crest,,,
454,Whitestone,village,Stonewood Light,,,
455,Whitestone,village,Seaford,,,
456,Ruppacke,city,Ardentic Beach,,,
457,Ruppacke,city,Hammond,,,
458,Ruppacke,town,Earneston,,,
459,Ruppacke,village,Kopposh,2281,,
460,Ruppacke,village,Brenslaw,,,
461,Ruppacke,village,Alma,,,
462,Ruppacke,village,Coxsteed,,,
463,Ruppacke,town,Venora,,,
464,Ruppacke,village,Rossbury,,,
465,Ruppacke,village,Montueg,,,
466,Ruppacke,town,Junecastle,,,
467,Ruppacke,town,Cedarville,,,
468,Ruppacke,town,Nunnamog,,,
469,Ruppacke,town,Dunchurch,,,
470,Ruppacke,village,Glen Elmore,,,
471,Ruppacke,town,Strumfax,,,
472,Ruppacke,town,Colevale,,,
473,Ruppacke,village,Ukeho,,,
474,Ruppacke,village,Joves Pass,,,
475,Ruppacke,village,Dewneck,,,
476,Ruppacke,town,Childan,,,
477,Ruppacke,town,Deiterra,,,
478,Ruppacke,town,Ambrose,,,
479,Ruppacke,village,Landrye,,,
480,Ruppacke,town,Paucksville,,,
481,Ruppacke,village,Fortitude,,,
482,Ruppacke,town,Innoupin,,,
483,Ruppacke,town,Chauseg,,,
